,index,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
60,9273,frozenset({'828635'}),"frozenset({'7133297', '768635'})",0.13052109181141439,0.060049627791563275,0.052109181141439205,0.39923954372623577,6.648493228168307,0.04427143815921532,1.5646009360178408
61,9272,"frozenset({'7133297', '768635'})",frozenset({'828635'}),0.060049627791563275,0.13052109181141439,0.052109181141439205,0.8677685950413223,6.648493228168306,0.04427143815921532,6.575434243176178
62,9377,frozenset({'768635'}),"frozenset({'748635', '828635'})",0.12655086848635236,0.08188585607940446,0.0684863523573201,0.5411764705882354,6.608912655971481,0.05812362615372301,2.0010180059807854
63,9372,"frozenset({'748635', '828635'})",frozenset({'768635'}),0.08188585607940446,0.12655086848635236,0.0684863523573201,0.8363636363636364,6.60891265597148,0.05812362615372301,5.337744692583405
64,10086,"frozenset({'6642521', '6742521'})","frozenset({'9486925', '6752521'})",0.10272952853598015,0.084863523573201,0.05707196029776675,0.5555555555555556,6.546458739441196,0.04835397053118977,2.059057071960298
65,10087,"frozenset({'9486925', '6752521'})","frozenset({'6642521', '6742521'})",0.084863523573201,0.10272952853598015,0.05707196029776675,0.6725146198830408,6.546458739441195,0.04835397053118977,2.7398794753633453
66,9383,frozenset({'768635'}),"frozenset({'9486925', '828635'})",0.12655086848635236,0.07344913151364764,0.06054590570719603,0.4784313725490196,6.5137784843667195,0.05125085432457561,1.7764697102557883
67,9378,"frozenset({'9486925', '828635'})",frozenset({'768635'}),0.07344913151364764,0.12655086848635236,0.06054590570719603,0.8243243243243243,6.5137784843667195,0.05125085432457561,4.97194121015461
68,7872,"frozenset({'4142521', '4512521'})",frozenset({'4462521'}),0.09081885856079404,0.11662531017369727,0.06898263027295286,0.7595628415300547,6.512847343332171,0.05839085272367911,3.674035641777578
69,7877,frozenset({'4462521'}),"frozenset({'4142521', '4512521'})",0.11662531017369727,0.09081885856079404,0.06898263027295286,0.5914893617021276,6.5128473433321705,0.05839085272367911,2.225599669148056
70,2698,frozenset({'4722472'}),frozenset({'4752472'}),0.08933002481389578,0.10421836228287841,0.06054590570719603,0.6777777777777778,6.503439153439154,0.05123607681840292,2.7800119791221016
71,2699,frozenset({'4752472'}),frozenset({'4722472'}),0.10421836228287841,0.08933002481389578,0.06054590570719603,0.580952380952381,6.503439153439154,0.05123607681840292,2.1731897135122944
72,4051,frozenset({'888635'}),frozenset({'858635'}),0.10024813895781638,0.08833746898263027,0.05756823821339951,0.5742574257425742,6.500723106018467,0.04871257134764699,2.1413468751803335
73,4050,frozenset({'858635'}),frozenset({'888635'}),0.08833746898263027,0.10024813895781638,0.05756823821339951,0.651685393258427,6.500723106018467,0.04871257134764699,2.5831585687985275
74,6576,"frozenset({'3029412', '4512521'})",frozenset({'4462521'}),0.07890818858560794,0.11662531017369727,0.05955334987593052,0.7547169811320754,6.4712966680048165,0.0503506579068894,3.601450658522618
75,6581,frozenset({'4462521'}),"frozenset({'3029412', '4512521'})",0.11662531017369727,0.07890818858560794,0.05955334987593052,0.5106382978723404,6.4712966680048165,0.0503506579068894,1.8822310928902792
76,7887,frozenset({'4462521'}),"frozenset({'4512521', '4370921'})",0.11662531017369727,0.07245657568238213,0.05459057071960298,0.46808510638297873,6.460215680559604,0.04614030010652119,1.7437816377171216
77,7886,"frozenset({'4512521', '4370921'})",frozenset({'4462521'}),0.07245657568238213,0.11662531017369727,0.05459057071960298,0.7534246575342466,6.460215680559603,0.04614030010652119,3.582575130962228
78,9949,"frozenset({'6752521', '6742521'})","frozenset({'6642521', '3029412'})",0.11563275434243177,0.07444168734491315,0.055583126550868486,0.48068669527896996,6.45722460658083,0.04697522920527803,1.782273445030043
79,9944,"frozenset({'6642521', '3029412'})","frozenset({'6752521', '6742521'})",0.07444168734491315,0.11563275434243177,0.055583126550868486,0.7466666666666667,6.45722460658083,0.04697522920527803,3.49092333812198
80,7868,"frozenset({'4512521', '4370921'})",frozenset({'4142521'}),0.07245657568238213,0.11861042183622829,0.05508684863523573,0.7602739726027398,6.409841233449877,0.046492743628739785,3.676653668911734
81,7869,frozenset({'4142521'}),"frozenset({'4512521', '4370921'})",0.11861042183622829,0.07245657568238213,0.05508684863523573,0.46443514644351463,6.409841233449876,0.046492743628739785,1.7318974875930517
82,9380,"frozenset({'9486925', '768635'})",frozenset({'828635'}),0.07245657568238213,0.13052109181141439,0.06054590570719603,0.8356164383561644,6.402156362310538,0.051088794340215134,5.289330024813896
83,9381,frozenset({'828635'}),"frozenset({'9486925', '768635'})",0.13052109181141439,0.07245657568238213,0.06054590570719603,0.46387832699619774,6.402156362310538,0.051088794340215134,1.730098727627897
84,8465,frozenset({'4462521'}),"frozenset({'4512521', '9486925'})",0.11662531017369727,0.07990074441687345,0.05955334987593052,0.5106382978723404,6.390907889520285,0.050234900775203345,1.8802028266263888
85,8460,"frozenset({'4512521', '9486925'})",frozenset({'4462521'}),0.07990074441687345,0.11662531017369727,0.05955334987593052,0.7453416149068323,6.390907889520285,0.050234900775203345,3.4688615868788957
86,2700,frozenset({'4772472'}),frozenset({'4722472'}),0.08784119106699752,0.08933002481389578,0.05012406947890819,0.5706214689265537,6.387790332705588,0.04227721370121114,2.120902442209743
87,2701,frozenset({'4722472'}),frozenset({'4772472'}),0.08933002481389578,0.08784119106699752,0.05012406947890819,0.5611111111111111,6.387790332705587,0.04227721370121114,2.0783365266827905
88,8393,frozenset({'768635'}),"frozenset({'4370921', '828635'})",0.12655086848635236,0.06947890818858561,0.05607940446650124,0.44313725490196076,6.378011204481792,0.04728678829375219,1.6710061859993708
89,8388,"frozenset({'4370921', '828635'})",frozenset({'768635'}),0.06947890818858561,0.12655086848635236,0.05607940446650124,0.807142857142857,6.378011204481792,0.04728678829375219,4.52899549673743
90,9092,"frozenset({'6200129', '768635'})",frozenset({'828635'}),0.06153846153846154,0.13052109181141439,0.0511166253101737,0.8306451612903225,6.364068441064639,0.043084558121778964,5.134065934065932
91,9093,frozenset({'828635'}),"frozenset({'6200129', '768635'})",0.13052109181141439,0.06153846153846154,0.0511166253101737,0.3916349809885932,6.364068441064639,0.043084558121778964,1.542596153846154
92,9275,frozenset({'768635'}),"frozenset({'7133297', '828635'})",0.12655086848635236,0.06501240694789082,0.052109181141439205,0.4117647058823529,6.333632689717108,0.04388180457979546,1.5894789081885856
93,9270,"frozenset({'7133297', '828635'})",frozenset({'768635'}),0.06501240694789082,0.12655086848635236,0.052109181141439205,0.8015267175572519,6.333632689717108,0.04388180457979546,4.400839854934148
94,7234,frozenset({'7222521'}),"frozenset({'3029412', '7232521'})",0.12258064516129032,0.07543424317617867,0.058560794044665014,0.4777327935222672,6.333102493074792,0.049314015848875375,1.7702925731432861
95,7231,"frozenset({'3029412', '7232521'})",frozenset({'7222521'}),0.07543424317617867,0.12258064516129032,0.058560794044665014,0.7763157894736842,6.333102493074792,0.049314015848875375,3.9225806451612897
96,9940,"frozenset({'6642521', '3029412', '6752521'})",frozenset({'6742521'}),0.06104218362282878,0.14392059553349876,0.055583126550868486,0.910569105691057,6.326885337818896,0.046797899131205786,9.572524249943612
97,9953,frozenset({'6742521'}),"frozenset({'6642521', '3029412', '6752521'})",0.14392059553349876,0.06104218362282878,0.055583126550868486,0.38620689655172413,6.326885337818895,0.046797899131205786,1.5297627345470768
